id,internal_customer_id,master_token_id,order_id,customer_id,cs_mid,ip,time,provider,firstname,lastname,email,address,other,refund,total,fees,payed,transaction_id,correlation_id,inserted,delete_status,CardType,VendorTxCode,VPSTxId,TxAuthNo,SecurityKey,more_info,CrossReference,inthere,withdraw_status,withdraw_date,csv_status,payment_status,reason,week_id,week_no,payment_provider,payment_survey_status,year,month,day,last_4_digits,origin,method,shopper_id
1,,,,1111111,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-39.39,0.00,-96.46,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
2,,,,73165331,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-62.01,0.00,-80.53,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
3,,,,73165331,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-5.67,0.00,-76.29,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
4,,,,1111111,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-3.51,0.00,-57.63,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
5,,,,73165331,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-13.29,0.00,-64.36,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
6,,,,1111111,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-36.72,0.00,-2.13,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
7,,,,73165331,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-79.34,0.00,-70,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
8,,,,63165323,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-12.42,0.00,-24.7,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
9,,,,73165331,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-15.38,0.00,-91.67,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
10,,,,1111111,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-10.31,0.00,-17.02,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
11,,,,1111111,,,2021-08-20 12:30:26,T2S,withdraw,,,Status: <i>Request Sent</i>.,,,-81.01,0.00,-17.06,,,0,0,,,,,,,,0,2,0000-00-00 00:00:00,0,INBATCH,,0,0,BARCLAYS,NOT-SENT,2021,8,20,,,,
